Park num,Site name,Municipal,Bus stops 5mins,Bus stops 10mins,Bus stops 20mins,Bus stops 30mins,Number of access points,Haptic access,Visual Access (Viewshed area in m2)
2,Drummond Walk Dog off leash trail,Burnaby,2,5,7,11,15,0.5003188895500579,2568446.55
6,Burnaby Fraser Foreshore Park,Burnaby,10,19,47,104,33,0.4483612366536837,201671.89
7,Deer lake (lakefront),Burnaby,8,28,79,162,24,0.4336513739797683,248862.66
8,Burnaby Lake,Burnaby,6,21,93,222,28,0.5954530487497928,252755.67
10,Kings Mill Walk Park,North Vancouver - City,2,2,60,110,7,0.4889015301575931,605978.17
11,Waterfront Park,North Vancouver - City,19,36,77,125,7,0.4029474922943135,358762.02
12,Lynnmouth Park (riverfront),North Vancouver - City,10,27,64,118,14,0.2408339179939818,105291.17
13,Spanish Banks Beach Park and Extension,Vancouver,3,5,29,68,26,0.4735911039916032,2689547.45
14,Locarno Beach Park,Vancouver,6,12,35,60,12,0.4672293282945656,1815470.95
15,Jericho Beach Park,Vancouver,1,15,54,100,13,0.428966007317617,2046272.56
16,Kitsilano Beach Park,Vancouver,8,20,63,166,20,0.4538454505503992,2441837.59
17,Sunset Beach Park,Vancouver,9,33,135,264,26,0.2302245053707456,409404.26
18,English Bay Beach Park,Vancouver,19,35,109,220,40,0.4478670719715088,1799143.54
21,John Hendry (Trout Lake) Park,Vancouver,7,29,130,280,20,0.3768646327569235,19657.93
22,Don Roberts Park,Coquitlam,0,8,16,27,1,0.218635912644106,35756.9
24,Maquabeak Park,Coquitlam,0,2,11,32,6,0.2255381754910144,1162.53
25,Coquitlam River Park,Coquitlam,12,37,111,238,28,0.2376998042943838,3003.02
26,Captain's Cove Park,Delta,5,24,39,66,8,0.4904386836366176,134545.95
31,Fred Gingell Park,Delta,4,8,34,53,2,0.1765514397363384,1413818.28
32,Panorama Park,North Vancouver - District,3,5,11,36,10,0.1854360720881774,201570.8
33,Lowry Lane Waterfront Park,North Vancouver - District,0,8,25,41,1,0.1242349835863439,649709.22
35,Deep Cove’s Parkside Beach,North Vancouver - District,0,5,11,31,2,0.3576094092072767,291761.86
36,Seylynn Park,North Vancouver - District,7,27,66,114,19,0.4256958616501052,7059.33
37,Cates Park,North Vancouver - District,4,10,25,44,19,0.4674718574648135,2023922.74
38,Harbourview Park (riverfront),North Vancouver - District,2,8,32,82,4,0.4618679973875835,243065.22
39,Bridgman Park,North Vancouver - District,9,24,67,119,10,0.4134742373470605,6968.1
40,Brookswood Pond,"Langley - Township
",0,8,29,53,8,0.3691018714252767,33433.78
42,Emmeline Mohun Park (riverfro,Maple Ridge,0,3,15,47,1,0.0566729442546991,157010.25
43,Port Haney Wharf,Maple Ridge,7,21,69,101,1,0.1571681453958539,67076.0
44,"Pacific Spirit Regional Park (Acadia, Tower, and Wreck Beaches combined)",Metro Vancouver,2,8,45,59,6,0.4921811536680055,5589613.09
46,Pitt River Regional Greenway at Harris Rd & fraser Way,Metro Vancouver,0,2,8,51,9,0.4591115055774762,466535.55
49,Kanaka Creek Regional Park (riverfront) 1,Metro Vancouver,13,29,72,155,16,0.5471659633586436,1372014.28
50,Sapperton Landing Park,New Westminster,2,21,80,167,19,0.4593249743684154,1014470.93
53,Quayside Park,New Westminster,4,5,47,105,4,0.2011970508429465,348646.5
54,Waterfront Esplanade and Park,New Westminster,13,23,62,124,8,0.4785500552403122,696361.45
55,Westminster Pier Park,New Westminster,13,34,77,139,3,0.4555515293195713,507539.71
56,Citadel Landing & Traboulay Trail,Port Coquitlam,6,16,36,72,20,0.4682044552214449,899633.6
57,Dominion Park,Port Coquitlam,0,8,15,36,2,0.3673542069920763,661957.14
58,Lions Park,Port Coquitlam,13,40,103,203,8,0.3809284731848358,1058.2
59,Shaughnessy Park,Port Coquitlam,16,30,113,242,17,0.4208569562959257,3905.53
