park_num,PARK_NAME,MUNI,park_perimeter_m,shoreline_length_m,shoreline_to_perimeter_ratio,shoreline_to_perimeter_percent
2,Drummond Walk Dog off leash trail,Burnaby,5332.518346955954,2667.9596578543133,0.5003188895500579,50.03188895500579
6,Burnaby Fraser Foreshore Park,Burnaby,8764.571428297133,3929.694084330846,0.44836123665368377,44.836123665368376
7,Deer lake (lakefront),Burnaby,5470.414936564239,2372.2529534805294,0.43365137397976833,43.36513739797683
8,Burnaby Lake,Burnaby,30208.253920729538,17987.596894506285,0.5954530487497928,59.54530487497928
10,Kings Mill Walk Park,North Vancouver - City,1877.931055895668,918.1233667578565,0.4889015301575931,48.89015301575931
11,Waterfront Park,North Vancouver - City,573.6506276504421,231.15108186480464,0.40294749229431354,40.29474922943135
12,Lynnmouth Park (riverfront),North Vancouver - City,1631.6524238036122,392.9572460290008,0.24083391799398182,24.083391799398182
13,Spanish Banks Beach Park and Extension,Vancouver,3721.842207116035,1762.631359750628,0.4735911039916032,47.35911039916032
14,Locarno Beach Park,Vancouver,2452.4176581910533,1145.8414551343374,0.4672293282945656,46.72293282945656
15,Jericho Beach Park,Vancouver,2327.966163282868,998.6183502339636,0.428966007317617,42.8966007317617
16,Kitsilano Beach Park,Vancouver,2798.4945777550474,1270.0840325040888,0.45384545055039927,45.38454505503993
17,Sunset Beach Park,Vancouver,1385.44000164895,318.9622391004745,0.2302245053707456,23.02245053707456
18,English Bay Beach Park,Vancouver,3193.5011507616878,1430.264009729281,0.4478670719715088,44.78670719715088
21,John Hendry (Trout Lake) Park,Vancouver,2431.1628987729537,916.219313018327,0.37686463275692356,37.686463275692354
22,Don Roberts Park,Coquitlam,223.55709477476344,48.87760944414532,0.21863591264410606,21.863591264410605
24,Maquabeak Park,Coquitlam,514.5341320402349,116.04708936820731,0.22553817549101446,22.553817549101446
25,Coquitlam River Park,Coquitlam,8510.17827530879,2022.8677105512163,0.23769980429438384,23.769980429438384
26,Captain's Cove Park,Delta,2483.284741674596,1217.8988998017867,0.4904386836366176,49.04386836366176
31,Fred Gingell Park,Delta,311.42356864889706,54.9822794127912,0.1765514397363384,17.65514397363384
32,Panorama Park,North Vancouver - District,646.7691683409483,119.93433412488267,0.18543607208817744,18.543607208817743
33,Lowry Lane Waterfront Park,North Vancouver - District,219.7444228541896,27.299944766480873,0.12423498358634397,12.423498358634397
35,Deep Cove’s Parkside Beach,North Vancouver - District,141.60283997345618,50.63850794498021,0.3576094092072767,35.76094092072767
36,Seylynn Park,North Vancouver - District,1526.7266081504938,649.921198960767,0.4256958616501052,42.56958616501052
37,Cates Park,North Vancouver - District,3281.993451212802,1534.2395748258025,0.46747185746481357,46.74718574648136
38,Harbourview Park (riverfront),North Vancouver - District,963.0034449344691,444.7804725892274,0.46186799738758355,46.18679973875835
39,Bridgman Park,North Vancouver - District,1159.2501948214863,479.32009019824534,0.4134742373470605,41.34742373470605
40,Brookswood Pond,"Langley - Township
",3295.280569615051,1216.2942251162672,0.36910187142527673,36.910187142527676
42,Emmeline Mohun Park (riverfro,Maple Ridge,170.3256148259623,9.652854074179112,0.0566729442546991,5.66729442546991
43,Port Haney Wharf,Maple Ridge,132.40190637733596,20.80936207220138,0.15716814539585394,15.716814539585394
44,"Pacific Spirit Regional Park (Acadia, Tower, and Wreck Beaches combined)",Metro Vancouver,10097.297509997623,4969.69953739971,0.4921811536680055,49.21811536680055
46,Pitt River Regional Greenway at Harris Rd & fraser Way,Metro Vancouver,2571.798643206509,1180.742347124651,0.4591115055774762,45.91115055774762
49,Kanaka Creek Regional Park (riverfront) 1,Metro Vancouver,21812.821428187097,11935.233450324058,0.5471659633586436,54.71659633586437
50,Sapperton Landing Park,New Westminster,1786.0307928325071,820.3685481389921,0.45932497436841546,45.932497436841544
53,Quayside Park,New Westminster,272.98587885100807,54.923953746592716,0.20119705084294653,20.119705084294655
54,Waterfront Esplanade and Park,New Westminster,1384.6932809884095,662.6450461078925,0.47855005524031224,47.85500552403123
55,Westminster Pier Park,New Westminster,1285.7561096746983,585.7281620942913,0.4555515293195713,45.55515293195713
56,Citadel Landing & Traboulay Trail,Port Coquitlam,8926.97609171809,4179.6499777977315,0.4682044552214449,46.82044552214449
57,Dominion Park,Port Coquitlam,1733.2477373148422,636.7158480621044,0.3673542069920763,36.73542069920763
58,Lions Park,Port Coquitlam,983.7254312265982,374.7290265502423,0.38092847318483586,38.092847318483585
59,Shaughnessy Park,Port Coquitlam,2611.689185835393,1099.1475615416678,0.42085695629592573,42.08569562959257
61,Rocky  Point Park,"Port Moody
",4377.888733413329,1911.7459416422455,0.43668216760541234,43.668216760541235
62,Old Orchard Park,"Port Moody
",838.9009761814035,307.58981153083363,0.3666580684301416,36.66580684301416
63,Old Mill Site Park,"Port Moody
",1797.5191848787224,938.8585830087636,0.5223079625000542,52.23079625000542
64,Terra Nova Park 1,Richmond,3403.4736041440083,1547.6520266832313,0.4547272012918913,45.472720129189135
65,Tait Waterfront,Richmond,1973.221204735338,845.3546234971082,0.42841351059294586,42.84135105929459
67,Imperial Landing Park,Richmond,2254.553754319348,596.2802579399236,0.2644781730298292,26.44781730298292
68,North Arm Dyke (riverfront),Richmond,3293.672371168559,1651.988993178468,0.5015644566348778,50.15644566348778
70,Crescent Beach 1,Surrey,2972.633369192156,1376.0851089354946,0.46291787046360855,46.29178704636085
72,Horseshoe Bay Park,West Vancouver,642.0498282274987,119.68248805787286,0.18640685316944833,18.640685316944833
73,Centennial Seawalk,West Vancouver,3651.708793216168,1505.1768697703696,0.41218425537287046,41.21842553728705
74,West Bay Park,West Vancouver,351.73810613304437,63.2748963562469,0.17989207098395324,17.989207098395323
75,Erwin Park,West Vancouver,193.73163854096933,20.143899305463254,0.10397836645150416,10.397836645150417
76,Caulfield Park 1,West Vancouver,2449.588138463922,1085.4323958648208,0.44310812043100006,44.31081204310001
77,Gulf Beach Park,West Vancouver,183.42418688809042,26.386584530424017,0.1438555349656413,14.38555349656413
78,Eagle Harbour Beach Park,West Vancouver,283.9439483502508,97.03887633244662,0.34175363446290863,34.17536344629086
79,Larson Bay Park,West Vancouver,523.4254297444318,110.47795615897691,0.21106723112959755,21.106723112959756
80,Bellevue Ave Park,West Vancouver,207.52357917720215,10.871236136487376,0.05238554664289278,5.2385546642892775
82,Stearman Beach,West Vancouver,990.1470172163926,394.43853339705817,0.3983636031202175,39.83636031202175
83,Parthenon Park (aka Balmy Beach),West Vancouver,254.88538614211168,38.111480209734864,0.14952399110275297,14.952399110275296
84,Whytecliff Park 1,West Vancouver,1042.1253510550373,563.9800380111817,0.5411825337904063,54.118253379040624
85,Altamont Beach Park,West Vancouver,385.8556264004762,95.21982198112386,0.24677577691272548,24.67757769127255
86,Sandy Cove Park,West Vancouver,237.82940845408257,49.47107337891176,0.20801074896699784,20.801074896699784
87,Kew Beach Park,West Vancouver,234.47432776040782,54.43040141431555,0.23213799964460927,23.213799964460925
88,Garrow Bay Park,West Vancouver,258.75988536091,10.780767637262283,0.04166321074932312,4.166321074932312
89,Citrus Park,West Vancouver,160.56482139853478,8.676501971070538,0.05403737814732633,5.403737814732633
90,Dundarave Park,West Vancouver,823.3973659742085,291.7218559009112,0.35429048956910175,35.42904895691017
91,Ambleside Park 1,West Vancouver,2836.86793897229,1100.7286549086919,0.38800842287619913,38.800842287619915
93,Memorial Park (including Totem Park parcel),White Rock,4715.094796564675,2264.9968971029475,0.48037144422911277,48.037144422911275
97,Maplewood Farm,North Vancouver - District,1557.856668880393,651.5575119582612,0.4182397039302244,41.82397039302244
98,Sutcliffe Park,Vancouver,773.3578937330183,126.3335870883424,0.16335720901292797,16.335720901292795
99,Gladstone-Riverside Park,Vancouver,851.7127558671834,373.6077582766266,0.4386546470074087,43.86546470074087
100,Kinross Corridor – South,Vancouver,360.76122037752646,93.64700330153856,0.2595816789940438,25.958167899404376
101,New Brighton Park,Vancouver,1539.9825189294938,654.9122864566788,0.4252725458935311,42.527254589353106
102,David Lam Park,Vancouver,1020.4506040841197,288.819293883072,0.283031136173705,28.3031136173705
103,Coopers' Park,Vancouver,1077.7510590541679,304.5650583953617,0.2825931423000849,28.259314230008492
104,Creekside Park,Vancouver,1118.6285476799212,305.7460477600389,0.27332222871852146,27.332222871852146
105,Riverfront Park,Vancouver,1371.9191711059002,293.3543439310097,0.21382771675574558,21.382771675574556
106,Deering Island Park,Vancouver,395.4027622005,133.22268710933466,0.33692907547717227,33.692907547717226
108,Charleson Park,Vancouver,1260.047132873481,577.4608446902919,0.458285114599974,45.8285114599974
110,Hadden Park,Vancouver,1113.6353849351922,365.16755978652,0.32790585206465117,32.79058520646512
111,Vanier Park,Vancouver,1353.8286275326345,603.0886867007347,0.44546900134610795,44.546900134610794
112,George Wainborn Park,Vancouver,635.2984664965184,261.0955755867316,0.41098096305284015,41.09809630528402
113,Habitat Island Park,Vancouver,469.30909672019885,251.28331745123901,0.5354324457108353,53.54324457108353
114,CRAB Park at Portside,Vancouver,1000.2973217949046,327.908230748362,0.3278107654631854,32.78107654631854
115,Volunteer Park,Vancouver,362.17439243879545,71.4492077722733,0.197278463811733,19.7278463811733
116,LYNN CANYON PARK,North Vancouver - District,6794.54534662132,3099.9569089923943,0.45624199278232647,45.624199278232645
118,Maple Ridge Park,Maple Ridge,2096.309307683816,722.8324086291495,0.3448119063249294,34.48119063249294
119,Galette Park,Coquitlam,296.88959129790635,100.2817907368591,0.33777469361070955,33.777469361070956
