park_num,PARK_NAME,MUNI,access_point_count,routing_origin_point_count,origin_node_count,avg_snap_distance_m,max_snap_distance_m,far_snap_count_gt_50m,reachable_node_count_30min,status,bus_stops_05min,bus_stops_10min,bus_stops_20min,bus_stops_30min
2,Drummond Walk Dog off leash trail,Burnaby,15,15,15,0.0,0.0,0,1892,success,2,5,7,11
6,Burnaby Fraser Foreshore Park,Burnaby,33,33,33,0.0,0.0,0,11938,success,10,19,47,104
7,Deer lake (lakefront),Burnaby,24,24,24,0.0,0.0,0,22156,success,8,28,79,162
8,Burnaby Lake,Burnaby,28,28,28,0.0,0.0,0,24248,success,6,21,93,222
10,Kings Mill Walk Park,North Vancouver - City,7,7,7,0.0,0.0,0,10624,success,2,2,60,110
11,Waterfront Park,North Vancouver - City,7,7,7,0.0,0.0,0,11741,success,19,36,77,125
12,Lynnmouth Park (riverfront),North Vancouver - City,14,14,14,0.0,0.0,0,10518,success,10,27,64,118
13,Spanish Banks Beach Park and Extension,Vancouver,26,26,26,0.0,0.01,0,10555,success,3,5,29,68
14,Locarno Beach Park,Vancouver,12,12,12,0.0,0.0,0,7323,success,6,12,35,60
15,Jericho Beach Park,Vancouver,13,13,13,0.0,0.0,0,9098,success,1,15,54,100
16,Kitsilano Beach Park,Vancouver,20,20,20,0.0,0.0,0,16140,success,8,20,63,166
17,Sunset Beach Park,Vancouver,26,26,26,0.0,0.0,0,23720,success,9,33,135,264
18,English Bay Beach Park,Vancouver,40,40,40,0.0,0.0,0,23604,success,19,35,109,220
21,John Hendry (Trout Lake) Park,Vancouver,20,20,20,0.0,0.0,0,23670,success,7,29,130,280
22,Don Roberts Park,Coquitlam,1,1,1,0.0,0.0,0,4070,success,0,8,16,27
24,Maquabeak Park,Coquitlam,6,6,6,0.0,0.0,0,6596,success,0,2,11,32
25,Coquitlam River Park,Coquitlam,28,28,28,0.0,0.0,0,36090,success,12,37,111,238
26,Captain's Cove Park,Delta,8,8,8,0.0,0.0,0,5782,success,5,24,39,66
31,Fred Gingell Park,Delta,2,2,2,0.0,0.0,0,1910,success,4,8,34,53
32,Panorama Park,North Vancouver - District,10,10,10,0.0,0.0,0,9633,success,3,5,11,36
33,Lowry Lane Waterfront Park,North Vancouver - District,1,1,1,0.0,0.0,0,9118,success,0,8,25,41
35,Deep Cove’s Parkside Beach,North Vancouver - District,2,2,2,0.0,0.0,0,8419,success,0,5,11,31
36,Seylynn Park,North Vancouver - District,19,19,19,0.0,0.0,0,10271,success,7,27,66,114
37,Cates Park,North Vancouver - District,19,19,19,0.0,0.0,0,7401,success,4,10,25,44
38,Harbourview Park (riverfront),North Vancouver - District,4,4,4,0.0,0.0,0,6954,success,2,8,32,82
39,Bridgman Park,North Vancouver - District,10,10,10,0.0,0.0,0,10685,success,9,24,67,119
40,Brookswood Pond,"Langley - Township
",8,8,8,0.0,0.0,0,2058,success,0,8,29,53
42,Emmeline Mohun Park (riverfro,Maple Ridge,1,1,1,0.0,0.0,0,2486,success,0,3,15,47
43,Port Haney Wharf,Maple Ridge,1,1,1,0.0,0.0,0,4194,success,7,21,69,101
44,"Pacific Spirit Regional Park (Acadia, Tower, and Wreck Beaches combined)",Metro Vancouver,6,6,6,0.0,0.0,0,15644,success,2,8,45,59
46,Pitt River Regional Greenway at Harris Rd & fraser Way,Metro Vancouver,9,9,9,0.0,0.0,0,2701,success,0,2,8,51
49,Kanaka Creek Regional Park (riverfront) 1,Metro Vancouver,16,16,16,0.0,0.0,0,6897,success,13,29,72,155
50,Sapperton Landing Park,New Westminster,19,19,19,0.0,0.0,0,19734,success,2,21,80,167
53,Quayside Park,New Westminster,4,4,4,0.0,0.0,0,8564,success,4,5,47,105
54,Waterfront Esplanade and Park,New Westminster,8,8,8,0.0,0.0,0,10351,success,13,23,62,124
55,Westminster Pier Park,New Westminster,3,3,3,0.0,0.0,0,13728,success,13,34,77,139
