park_num,PARK_NAME,bus_stops_05min,avery_05min,diff_05min,bus_stops_10min,avery_10min,diff_10min,bus_stops_20min,avery_20min,diff_20min,bus_stops_30min,avery_30min,diff_30min
35,Deep Cove’s Parkside Beach,1,1,0,5,5,0,9,9,0,20,22,-2
42,Emmeline Mohun Park (riverfro,0,0,0,2,2,0,13,9,4,28,29,-1
49,Kanaka Creek Regional Park (riverfront) 1,10,14,-4,23,29,-6,47,50,-3,112,81,31
75,Erwin Park,1,3,-2,6,5,1,19,15,4,40,32,8
79,Larson Bay Park,0,0,0,2,4,-2,14,16,-2,23,21,2
106,Deering Island Park,0,0,0,0,0,0,0,0,0,16,7,9
111,Vanier Park,0,0,0,2,3,-1,34,55,-21,117,144,-27
129,Cross's Cabins,1,1,0,1,2,-1,14,8,6,28,15,13
134,Marina Park,0,0,0,3,3,0,13,8,5,15,16,-1
142,Strathcona Park,0,0,0,0,0,0,17,13,4,39,30,9
