park_num,PARK_NAME,access_point_count
2,"Drummond Walk Dog off leash trail
",15
6,Burnaby Fraser Foreshore Park,33
7,"Deer lake (lakefront)
",24
8,Burnaby Lake,28
10,Kings Mill Walk Park,7
11,Waterfront Park,7
12,"Lynnmouth Park (riverfront)
",14
13,Spanish Banks Beach Park and Extension,26
14,Locarno Beach Park,12
15,Jericho Beach Park,13
16,Kitsilano Beach Park,20
17,Sunset Beach Park,26
18,English Bay Beach Park,40
21,John Hendry (Trout Lake) Park,20
22,Don Roberts Park,1
24,Maquabeak Park,6
25,Coquitlam River Park,28
26,Captain's Cove Park,8
31,Fred Gingell Park,2
32,Panorama Park,10
33,Lowry Lane Waterfront Park,1
35,"Deep Cove’s Parkside Beach
",2
36,Seylynn Park,19
37,"Cates Park
",19
38,"Harbourview Park (riverfront)
",4
39,Bridgman Park,10
40,"Brookswood Pond
",8
42,Emmeline Mohun Park (riverfro,1
43,Port Haney Wharf,1
44,"Pacific Spirit Regional Park (Acadia, Tower, and Wreck Beaches combined)",6
46,"Pitt River Regional Greenway at Harris Rd & fraser Way
",9
49,"Kanaka Creek Regional Park (riverfront) 1
",16
50,"Sapperton Landing Park
",19
53,"Quayside Park
",4
54,"Waterfront Esplanade and Park
",8
55,"Westminster Pier Park
",3
56,Citadel Landing & Traboulay Trail,20
57,"Dominion Park
",2
58,"Lions Park
",8
59,"Shaughnessy Park
",17
61,Rocky  Point Park,17
62,Old Orchard Park,5
63,Old Mill Site Park,6
64,Terra Nova Park 1,21
65,Tait Waterfront,8
67,Imperial Landing Park,15
68,"North Arm Dyke (riverfront)
",9
70,Crescent Beach 1,18
72,Horseshoe Bay Park,9
73,Centennial Seawalk,13
74,"West Bay Park
",2
75,Erwin Park,1
76,Caulfield Park 1,6
77,Gulf Beach Park,1
78,Eagle Harbour Beach Park,3
79,Larson Bay Park,2
80,Bellevue Ave Park,1
82,Stearman Beach,1
83,Parthenon Park (aka Balmy Beach),1
84,Whytecliff Park 1,7
85,Altamont Beach Park,3
86,Sandy Cove Park,1
87,Kew Beach Park,1
88,Garrow Bay Park,1
89,"Citrus Park
",3
90,Dundarave Park,16
91,Ambleside Park 1,34
93,Memorial Park (including Totem Park parcel),37
97,"Maplewood Farm
",20
98,Sutcliffe Park,12
99,Gladstone-Riverside Park,6
100,Kinross Corridor – South,3
101,New Brighton Park,7
102,David Lam Park,19
103,Coopers' Park,23
104,Creekside Park,16
105,Riverfront Park,8
106,Deering Island Park,2
108,Charleson Park,15
110,Hadden Park,6
111,Vanier Park,9
112,George Wainborn Park,13
113,Habitat Island Park,7
114,CRAB Park at Portside,6
115,Volunteer Park,1
116,LYNN CANYON PARK,14
118,Maple Ridge Park,8
119,Galette Park,2
120,Town Centre Park,25
121,Como Lake Park,15
122,Oxley Street Park,1
123,Latimer Park,12
125,Seymour River Heritage Park,3
126,Capilano River Regional Park,11
127,Klee Wyck Park - DNV,1
128,Klee Wyck Park - DWV,1
129,Cross's Cabins,6
130,Davidson's Pool,1
131,Coquitlam River Greenway and Natural Areas,2
132,Hockaday Park,2
134,Marina Park,2
135,Bedford Channel Landing,7
136,Westwood Park,11
137,Klootchman Park,1
138,John Lawson Park,8
139,Elgin Heritage Park,4
140,National Park,1
141,Deep Cove Park,13
142,Strathcona Park,1
143,Hume Park,11
144,Park Site on South East False Creek (Hinge Park),13
145,"Stanley Park (Seawall, Second Beach, Third Beach)",99
146,Lost Lagoon,30
147,Beaver Lake,12
