park_num,PARK_NAME,MUNI,observer_count,visible_water_cells,visible_water_area_m2,runtime_minutes
2,Drummond Walk Dog off leash trail,,15,,2568446.55,28.25
6,Burnaby Fraser Foreshore Park,,15,,201671.89,118.36
7,Deer lake (lakefront),,15,,248862.66,6.3
8,Burnaby Lake,,15,,252755.67,40.21
10,Kings Mill Walk Park,,12,,605978.17,6.08
11,Waterfront Park,,6,,358762.02,2.8
12,Lynnmouth Park (riverfront),,9,,105291.17,2.74
13,Spanish Banks Beach Park and Extension,,15,,2689547.45,42.87
14,Locarno Beach Park,,11,,1815470.95,16.36
15,Jericho Beach Park,,15,,2046272.56,26.95
16,Kitsilano Beach Park,,15,,2441837.59,29.44
17,Sunset Beach Park,,9,,409404.26,3.66
18,English Bay Beach Park,,15,,1799143.54,22.18
21,John Hendry (Trout Lake) Park,,15,,19657.93,2.93
22,Don Roberts Park,,2,,35756.9,1.04
24,Maquabeak Park,,4,,1162.53,1.73
25,Coquitlam River Park,,15,,3003.02,7.08
26,Captain's Cove Park,,14,,134545.95,12.22
31,Fred Gingell Park,,3,,1413818.28,2.86
32,Panorama Park,,5,,201570.8,1.78
33,Lowry Lane Waterfront Park,,3,,649709.22,2.04
35,Deep Cove’s Parkside Beach,,3,,291761.86,1.81
36,Seylynn Park,,11,,7059.33,2.91
37,Cates Park,,15,,2023922.74,28.38
38,Harbourview Park (riverfront),,5,,243065.22,2.05
39,Bridgman Park,,8,,6968.1,2.14
40,Brookswood Pond,,14,,33433.78,3.27
42,Emmeline Mohun Park (riverfro,,2,,157010.25,0.93
43,Port Haney Wharf,,1,,67076.0,0.5
44,"Pacific Spirit Regional Park (Acadia, Tower, and Wreck Beaches combined)",,15,,5589613.09,111.66
46,Pitt River Regional Greenway at Harris Rd & fraser Way,,15,,466535.55,23.11
49,Kanaka Creek Regional Park (riverfront) 1,,15,,1372014.28,21.64
50,Sapperton Landing Park,,10,,1014470.93,6.11
53,Quayside Park,,3,,348646.5,1.25
54,Waterfront Esplanade and Park,,8,,696361.45,3.43
55,Westminster Pier Park,,7,,507539.71,3.18
56,Citadel Landing & Traboulay Trail,Port Coquitlam,15,899914.0,899633.6,141.11
57,Dominion Park,Port Coquitlam,6,661975.0,661957.14,3.08
58,Lions Park,Port Coquitlam,8,1059.0,1058.2,1.6
59,Shaughnessy Park,Port Coquitlam,15,3906.0,3905.53,3.93
61,Rocky  Point Park,"Port Moody
",15,1328670.0,1328461.08,17.06
62,Old Orchard Park,"Port Moody
",7,1099039.0,1098501.13,4.65
63,Old Mill Site Park,"Port Moody
",12,1058960.0,1058423.16,6.17
64,Terra Nova Park 1,Richmond,15,1616899.0,1616804.33,14.14
65,Tait Waterfront,Richmond,11,312714.0,312569.47,3.64
67,Imperial Landing Park,Richmond,14,365674.0,365602.27,7.43
68,North Arm Dyke (riverfront),Richmond,15,979521.0,979015.59,8.69
70,Crescent Beach 1,Surrey,15,3061547.0,3059259.32,28.18
72,Horseshoe Bay Park,West Vancouver,9,280128.0,280035.72,4.01
73,Centennial Seawalk,West Vancouver,15,2762079.0,2761739.4,32.61
74,West Bay Park,West Vancouver,4,346763.0,346608.8,2.51
75,Erwin Park,West Vancouver,3,1365322.0,1364586.55,2.74
76,Caulfield Park 1,West Vancouver,8,1367598.0,1366970.12,7.9
77,Gulf Beach Park,West Vancouver,2,661276.0,661056.96,1.44
78,Eagle Harbour Beach Park,West Vancouver,3,208243.0,208181.49,1.32
79,Larson Bay Park,West Vancouver,3,509081.0,508697.01,1.75
80,Bellevue Ave Park,West Vancouver,2,3773.0,3770.7,1.64
82,Stearman Beach,West Vancouver,3,943939.0,943204.62,2.26
83,Parthenon Park (aka Balmy Beach),West Vancouver,1,186800.0,186800.0,0.67
84,Whytecliff Park 1,West Vancouver,7,2008949.0,2008581.71,8.37
85,Altamont Beach Park,West Vancouver,3,1102202.0,1101383.97,2.47
86,Sandy Cove Park,West Vancouver,3,724310.0,724005.96,2.14
87,Kew Beach Park,West Vancouver,4,796202.0,795667.73,2.89
88,Garrow Bay Park,West Vancouver,2,379268.0,378993.5,1.08
89,Citrus Park,West Vancouver,2,1494634.0,1494419.68,3.46
90,Dundarave Park,West Vancouver,5,1603754.0,1603341.06,4.87
91,Ambleside Park 1,West Vancouver,15,2163057.0,2161811.14,23.88
93,Memorial Park (including Totem Park parcel),White Rock,15,2851120.0,2851033.65,43.31
97,Maplewood Farm,North Vancouver - District,11,14796.0,14783.34,2.33
98,Sutcliffe Park,Vancouver,6,13568.0,13560.6,1.08
99,Gladstone-Riverside Park,Vancouver,5,398064.0,397880.27,1.86
100,Kinross Corridor – South,Vancouver,3,13890.0,13882.29,0.9
101,New Brighton Park,Vancouver,12,507196.0,506973.47,4.18
102,David Lam Park,Vancouver,10,154468.0,154409.34,1.9
103,Coopers' Park,Vancouver,9,125796.0,125729.13,1.69
104,Creekside Park,Vancouver,9,150136.0,150055.95,1.58
105,Riverfront Park,Vancouver,9,363269.0,363111.63,2.57
106,Deering Island Park,Vancouver,3,134608.0,134495.95,0.9
108,Charleson Park,Vancouver,11,288001.0,287902.8,2.25
110,Hadden Park,Vancouver,7,1506553.0,1505824.74,5.96
111,Vanier Park,Vancouver,9,848238.0,847640.28,6.13
112,George Wainborn Park,Vancouver,7,63951.0,63943.73,1.69
113,Habitat Island Park,Vancouver,4,45578.0,45554.98,0.87
114,CRAB Park at Portside,Vancouver,8,319184.0,318963.18,2.78
115,Volunteer Park,Vancouver,4,342495.0,342243.08,3.63
116,LYNN CANYON PARK,North Vancouver - District,15,144.0,143.9,9.46
118,Maple Ridge Park,Maple Ridge,10,1195.0,1194.39,2.54
119,Galette Park,Coquitlam,3,1525.0,1524.08,0.73
120,Town Centre Park,Coquitlam,15,45347.0,45317.28,4.11
121,Como Lake Park,Coquitlam,15,34933.0,34911.38,3.05
122,Oxley Street Park,West Vancouver,1,1113533.0,1113533.0,0.99
123,Latimer Park,Surrey,15,172.0,171.99,3.52
125,Seymour River Heritage Park,North Vancouver - District,3,6152.0,6149.22,2.97
126,Capilano River Regional Park,Metro Vancouver,11,16973.0,16966.25,3.49
127,Klee Wyck Park - DNV,North Vancouver - District,3,0.0,0.0,0.7
128,Klee Wyck Park - DWV,West Vancouver,2,10.0,9.99,0.56
129,Cross's Cabins,Maple Ridge,6,1433.0,1432.24,1.08
130,Davidson's Pool,Maple Ridge,3,192.0,191.96,0.68
131,Coquitlam River Greenway and Natural Areas,Coquitlam,4,3719.0,3718.6,1.1
132,Hockaday Park,Coquitlam,3,0.0,0.0,0.71
134,Marina Park,Langley - Township,3,230481.0,230384.94,1.09
135,Bedford Channel Landing,Langley - Township,4,162133.0,162080.34,1.07
136,Westwood Park,Port Coquitlam,15,4148.0,4145.19,4.45
137,Klootchman Park,West Vancouver,3,1376404.0,1375145.14,3.35
138,John Lawson Park,West Vancouver,4,1392249.0,1391464.67,4.21
139,Elgin Heritage Park,Surrey,5,273734.0,273598.25,4.31
140,National Park,Canada - federal,3,1226.0,1225.27,1.36
141,Deep Cove Park,North Vancouver - District,7,304029.0,303871.07,13.01
142,Strathcona Park,North Vancouver - District,1,335582.0,335582.0,2.66
143,Hume Park,New Westminster,9,0.0,0.0,6.6
144,Park Site on South East False Creek (Hinge Park),Vancouver,3,19540.0,19537.27,2.39
145,"Stanley Park (Seawall, Second Beach, Third Beach)",Vancouver,15,7874805.0,7873614.68,132.53
146,Lost Lagoon,Vancouver,15,159159.0,159159.43,9.76
