park_num,PARK_NAME,visible_water_area_m2,avery_visual_access_m2,diff_m2,percent_diff
35,Deep Cove’s Parkside Beach,201696.99,11469.73,190227.26,1658.52
42,Emmeline Mohun Park (riverfro,437799.32,284707.39,153091.93,53.77
49,Kanaka Creek Regional Park (riverfront) 1,211178.39,1435.55,209742.84,14610.59
75,Erwin Park,1026798.81,59359603.28,-58332804.47,-98.27
79,Larson Bay Park,556676.4,66829596.58,-66272920.18,-99.17
106,Deering Island Park,71584.34,3559269.14,-3487684.8,-97.99
111,Vanier Park,671984.84,14922342.76,-14250357.92,-95.5
129,Cross's Cabins,31.98,0.0,31.98,
134,Marina Park,206545.28,204564.54,1980.74,0.97
142,Strathcona Park,534142.71,514450.71,19692.0,3.83
