park_num,PARK_NAME,observer_count,observer_height_m,analysis_buffer_m,visible_water_cells,cell_area_m2,visible_water_area_m2,visible_water_raster
106,Deering Island Park,3,1.6,1000,71634.0,0.9993,71584.34,C:\Users\owusu\Desktop\work\under_lab\weekly_reports\urban_blue_green_accessibility\data\processed\viewshed\viewshed_outputs.gdb\visible_water_park_106
129,Cross's Cabins,3,1.6,1000,32.0,0.9993,31.98,C:\Users\owusu\Desktop\work\under_lab\weekly_reports\urban_blue_green_accessibility\data\processed\viewshed\viewshed_outputs.gdb\visible_water_park_129
142,Strathcona Park,3,1.6,1000,534353.0,0.9996,534142.71,C:\Users\owusu\Desktop\work\under_lab\weekly_reports\urban_blue_green_accessibility\data\processed\viewshed\viewshed_outputs.gdb\visible_water_park_142
134,Marina Park,3,1.6,1000,206621.0,0.9996,206545.28,C:\Users\owusu\Desktop\work\under_lab\weekly_reports\urban_blue_green_accessibility\data\processed\viewshed\viewshed_outputs.gdb\visible_water_park_134
42,Emmeline Mohun Park (riverfro,3,1.6,1000,438039.0,0.9995,437799.32,C:\Users\owusu\Desktop\work\under_lab\weekly_reports\urban_blue_green_accessibility\data\processed\viewshed\viewshed_outputs.gdb\visible_water_park_42
79,Larson Bay Park,3,1.6,1000,556807.0,0.9998,556676.4,C:\Users\owusu\Desktop\work\under_lab\weekly_reports\urban_blue_green_accessibility\data\processed\viewshed\viewshed_outputs.gdb\visible_water_park_79
35,Deep Cove’s Parkside Beach,3,1.6,1000,201824.0,0.9994,201696.99,C:\Users\owusu\Desktop\work\under_lab\weekly_reports\urban_blue_green_accessibility\data\processed\viewshed\viewshed_outputs.gdb\visible_water_park_35
111,Vanier Park,3,1.6,1000,672205.0,0.9997,671984.84,C:\Users\owusu\Desktop\work\under_lab\weekly_reports\urban_blue_green_accessibility\data\processed\viewshed\viewshed_outputs.gdb\visible_water_park_111
75,Erwin Park,3,1.6,1000,1027228.0,0.9996,1026798.81,C:\Users\owusu\Desktop\work\under_lab\weekly_reports\urban_blue_green_accessibility\data\processed\viewshed\viewshed_outputs.gdb\visible_water_park_75
49,Kanaka Creek Regional Park (riverfront) 1,3,1.6,1000,211222.0,0.9998,211178.39,C:\Users\owusu\Desktop\work\under_lab\weekly_reports\urban_blue_green_accessibility\data\processed\viewshed\viewshed_outputs.gdb\visible_water_park_49
