catchment_min,outcome,specification,family,N,term,estimate,std_error,statistic,p_value,conf_low,conf_high,inference,term_label
10,pedestrian,controlled,SAR_lag,105,site_typecoastal waterfront without beach,0.398746827071132,0.22899058844847273,1.7413240857313999,0.08162678659947598,-0.050074726287874516,0.8475683804301386,SAR model-based,Coastal waterfront without beach (vs beach)
10,pedestrian,controlled,SAR_lag,105,site_typelakefront,0.022904481853321123,0.3933771713504885,0.05822524417136002,0.9535692128880806,-0.7481147739936362,0.7939237377002786,SAR model-based,Lakefront (vs beach)
10,pedestrian,controlled,SAR_lag,105,site_typeriverfront,-0.15476712501074366,0.2629267518210177,-0.5886320959690643,0.5561080983643629,-0.6701035585799383,0.36056930855845104,SAR model-based,Riverfront (vs beach)
10,pedestrian,controlled,SAR_lag,105,z_log_site_area,-0.27344236289429913,0.08780573767770969,-3.1141742000729757,0.0018446054798775258,-0.4455416087426101,-0.10134311704598814,SAR model-based,Log land-buffer area
10,transit,controlled,SAR_error,105,site_typecoastal waterfront without beach,0.293823011577416,0.23064934903295425,1.2738948226358782,0.20270069351597053,-0.1582497125271743,0.7458957356820064,SAR model-based,Coastal waterfront without beach (vs beach)
10,transit,controlled,SAR_error,105,site_typelakefront,0.27589034598720985,0.386183270651619,0.7144026345876959,0.4749782433380434,-0.4810288644899634,1.032809556464383,SAR model-based,Lakefront (vs beach)
10,transit,controlled,SAR_error,105,site_typeriverfront,-0.052406967982777504,0.2632944612690832,-0.19904318431225307,0.8422289641801395,-0.5684641120701805,0.4636501761046255,SAR model-based,Riverfront (vs beach)
10,transit,controlled,SAR_error,105,z_log_site_area,0.28264594807230387,0.08878182251575588,3.1836015533713944,0.0014545508067240753,0.10863357594142234,0.4566583202031854,SAR model-based,Log land-buffer area
10,physical,controlled,SAR_error,105,site_typecoastal waterfront without beach,0.3567114457260829,0.22498014796857083,1.585524096001193,0.11284730663735187,-0.08424964429231596,0.7976725357444817,SAR model-based,Coastal waterfront without beach (vs beach)
10,physical,controlled,SAR_error,105,site_typelakefront,0.18635961726255948,0.3761983646989071,0.4953759366065125,0.6203347774342189,-0.5509891775472985,0.9237084120724174,SAR model-based,Lakefront (vs beach)
10,physical,controlled,SAR_error,105,site_typeriverfront,-0.17324119500457494,0.2570492825954731,-0.6739610134497449,0.5003361002142774,-0.6770577888917022,0.3305753988825524,SAR model-based,Riverfront (vs beach)
10,physical,controlled,SAR_error,105,z_log_site_area,0.07825959706589893,0.08664945076648395,0.9031747619128565,0.3664331503074434,-0.0915733264364096,0.24809252056820746,SAR model-based,Log land-buffer area
10,visual,controlled,SAR_lag,105,site_typecoastal waterfront without beach,-0.5000431912601019,0.21437544279199877,-2.332558173397113,0.019671346355198294,-0.9202190591324195,-0.0798673233877843,SAR model-based,Coastal waterfront without beach (vs beach)
10,visual,controlled,SAR_lag,105,site_typelakefront,-0.17908564905910856,0.36964714907572027,-0.4844772900505282,0.6280471776814749,-0.9035940612475202,0.5454227631293032,SAR model-based,Lakefront (vs beach)
10,visual,controlled,SAR_lag,105,site_typeriverfront,-1.2179039139751056,0.24753431742858437,-4.920141686319839,8.648158507096326e-7,-1.703071176135131,-0.7327366518150802,SAR model-based,Riverfront (vs beach)
10,visual,controlled,SAR_lag,105,z_log_site_area,0.361852412473125,0.08255754301525797,4.383032721870718,1.1703852568434314e-5,0.20003962816321938,0.5236651967830306,SAR model-based,Log land-buffer area
10,haptic,controlled,OLS,105,site_typecoastal waterfront without beach,0.1566300079505621,0.20695391205863783,0.7568352122098707,0.45102153502164066,-0.24899965968436805,0.5622596755854923,HC3 robust,Coastal waterfront without beach (vs beach)
10,haptic,controlled,OLS,105,site_typelakefront,-0.03648984783975249,0.2509947829340988,-0.14538090159958927,0.884718156472856,-0.5284396223905862,0.45545992671108115,HC3 robust,Lakefront (vs beach)
10,haptic,controlled,OLS,105,site_typeriverfront,0.2790419166971392,0.19450417185965257,1.4346320391445695,0.15467580708682652,-0.10218626014777987,0.6602700935420582,HC3 robust,Riverfront (vs beach)
10,haptic,controlled,OLS,105,z_log_site_area,0.7352703660087033,0.09239152780484312,7.958201184439779,3.68688021770586e-12,0.5541829715112108,0.9163577605061959,HC3 robust,Log land-buffer area
10,multidimensional,controlled,SAR_error,105,site_typecoastal waterfront without beach,-0.007512140146488214,0.20156796206146657,-0.03726852258494059,0.97027090338712485,-0.4025853457869627,0.3875610654939863,SAR model-based,Coastal waterfront without beach (vs beach)
10,multidimensional,controlled,SAR_error,105,site_typelakefront,-0.02817358414060746,0.3403386882976905,-0.08278102111025455,0.9340256602840658,-0.6952374132040808,0.638890244922866,SAR model-based,Lakefront (vs beach)
10,multidimensional,controlled,SAR_error,105,site_typeriverfront,-0.7369612395232032,0.22966822931817915,-3.208807947494677,0.001332864902157338,-1.1871109689868344,-0.2868115100595721,SAR model-based,Riverfront (vs beach)
10,multidimensional,controlled,SAR_error,105,z_log_site_area,0.5844974519693412,0.07743479668348362,7.548253201444914,4.418687638008123e-14,0.43272525046971333,0.7362696534689691,SAR model-based,Log land-buffer area
