catchment_min,outcome,specification,family,N,term,estimate,std_error,statistic,p_value,conf_low,conf_high,inference,term_label,significance
5,pedestrian,controlled,SAR_lag,90,z_shelter,-0.32001244649560345,0.1123007619545274,-2.849601738456434,0.004377400334998338,-0.5401219399264772,-0.09990295306472977,SAR model-based,Principal accommodation expenditure,**
5,pedestrian,controlled,SAR_lag,90,z_low_income,0.03551741221370685,0.1177920940086212,0.3015262824948789,0.7630132114775321,-0.19535509204319068,0.2663899164706044,SAR model-based,Low-income residents (%),
5,pedestrian,controlled,SAR_lag,90,z_bachelors,0.17425850699820752,0.12814886107251358,1.3598131543252858,0.1738890586423032,-0.0769132607039191,0.4254302747003341,SAR model-based,Bachelor's degree or higher (%),
5,pedestrian,controlled,SAR_lag,90,z_visible_minority,0.044095690475142175,0.10478605609432046,0.42081639598545995,0.6738891580402613,-0.16128497946972592,0.24947636042001026,SAR model-based,Visible-minority residents (%),
5,pedestrian,controlled,SAR_lag,90,z_indigenous,-0.04082771539165392,0.09955537105896861,-0.41010057978158565,0.6817321674270465,-0.2359562426672324,0.15430081188392455,SAR model-based,Indigenous identity residents (%),
5,transit,controlled,OLS,90,z_shelter,-0.29508404884378886,0.1788283608349333,-1.650096480592163,0.10284429864316103,-0.6455876360802582,0.055419538392680434,HC3 robust,Principal accommodation expenditure,
5,transit,controlled,OLS,90,z_low_income,-0.0499729925977967,0.18012436662094577,-0.27743604896587926,0.7821609748245824,-0.4030167511748504,0.30307076597925703,HC3 robust,Low-income residents (%),
5,transit,controlled,OLS,90,z_bachelors,-0.16962928232761273,0.21330843090517318,-0.795230088223854,0.42883277887301774,-0.5877138069017521,0.24845524224652668,HC3 robust,Bachelor's degree or higher (%),
5,transit,controlled,OLS,90,z_visible_minority,-0.009873355337390784,0.14633133561364323,-0.06747259769062232,0.9463738249089266,-0.29668277314013153,0.2769360624653499,HC3 robust,Visible-minority residents (%),
5,transit,controlled,OLS,90,z_indigenous,-0.09789896684729499,0.13032385095823926,-0.7511976213676003,0.4547378478109496,-0.35333371472544395,0.15753578103085397,HC3 robust,Indigenous identity residents (%),
