Catchment,Outcome,Model,Predictor,beta (SE),p
5 minutes,Pedestrian,SAR lag,Principal accommodation expenditure,-0.320 (0.112),.004
5 minutes,Pedestrian,SAR lag,Low-income residents (%),0.036 (0.118),.763
5 minutes,Pedestrian,SAR lag,Bachelor's degree or higher (%),0.174 (0.128),.174
5 minutes,Pedestrian,SAR lag,Visible-minority residents (%),0.044 (0.105),.674
5 minutes,Pedestrian,SAR lag,Indigenous identity residents (%),-0.041 (0.100),.682
5 minutes,Transit,OLS,Principal accommodation expenditure,-0.295 (0.179),.103
5 minutes,Transit,OLS,Low-income residents (%),-0.050 (0.180),.782
5 minutes,Transit,OLS,Bachelor's degree or higher (%),-0.170 (0.213),.429
5 minutes,Transit,OLS,Visible-minority residents (%),-0.010 (0.146),.946
5 minutes,Transit,OLS,Indigenous identity residents (%),-0.098 (0.130),.455
5 minutes,Physical,OLS,Principal accommodation expenditure,-0.425 (0.207),.043
5 minutes,Physical,OLS,Low-income residents (%),0.017 (0.177),.925
5 minutes,Physical,OLS,Bachelor's degree or higher (%),0.042 (0.189),.824
5 minutes,Physical,OLS,Visible-minority residents (%),0.009 (0.142),.952
5 minutes,Physical,OLS,Indigenous identity residents (%),-0.086 (0.115),.457
5 minutes,Visual,SAR lag,Principal accommodation expenditure,0.176 (0.101),.082
5 minutes,Visual,SAR lag,Low-income residents (%),0.011 (0.103),.916
5 minutes,Visual,SAR lag,Bachelor's degree or higher (%),-0.146 (0.112),.195
5 minutes,Visual,SAR lag,Visible-minority residents (%),0.070 (0.094),.458
5 minutes,Visual,SAR lag,Indigenous identity residents (%),-0.010 (0.090),.915
5 minutes,Haptic,OLS,Principal accommodation expenditure,0.106 (0.107),.325
5 minutes,Haptic,OLS,Low-income residents (%),0.095 (0.092),.307
5 minutes,Haptic,OLS,Bachelor's degree or higher (%),0.056 (0.105),.594
5 minutes,Haptic,OLS,Visible-minority residents (%),-0.023 (0.084),.782
5 minutes,Haptic,OLS,Indigenous identity residents (%),0.055 (0.096),.567
5 minutes,Multidimensional,SAR error,Principal accommodation expenditure,-0.006 (0.102),.955
5 minutes,Multidimensional,SAR error,Low-income residents (%),0.085 (0.104),.413
5 minutes,Multidimensional,SAR error,Bachelor's degree or higher (%),-0.028 (0.115),.810
5 minutes,Multidimensional,SAR error,Visible-minority residents (%),0.026 (0.099),.794
5 minutes,Multidimensional,SAR error,Indigenous identity residents (%),-0.032 (0.093),.728
10 minutes,Pedestrian,SAR lag,Principal accommodation expenditure,-0.283 (0.102),.005
10 minutes,Pedestrian,SAR lag,Low-income residents (%),0.082 (0.107),.444
10 minutes,Pedestrian,SAR lag,Bachelor's degree or higher (%),0.152 (0.127),.230
10 minutes,Pedestrian,SAR lag,Visible-minority residents (%),-0.001 (0.103),.989
10 minutes,Pedestrian,SAR lag,Indigenous identity residents (%),-0.016 (0.099),.873
10 minutes,Transit,SAR error,Principal accommodation expenditure,-0.222 (0.104),.033
10 minutes,Transit,SAR error,Low-income residents (%),0.300 (0.102),.003
10 minutes,Transit,SAR error,Bachelor's degree or higher (%),-0.014 (0.132),.914
10 minutes,Transit,SAR error,Visible-minority residents (%),0.000 (0.108),.997
10 minutes,Transit,SAR error,Indigenous identity residents (%),0.005 (0.101),.962
10 minutes,Physical,SAR error,Principal accommodation expenditure,-0.285 (0.101),.005
10 minutes,Physical,SAR error,Low-income residents (%),0.275 (0.099),.006
10 minutes,Physical,SAR error,Bachelor's degree or higher (%),0.085 (0.129),.512
10 minutes,Physical,SAR error,Visible-minority residents (%),-0.018 (0.105),.868
10 minutes,Physical,SAR error,Indigenous identity residents (%),-0.013 (0.098),.898
10 minutes,Visual,SAR lag,Principal accommodation expenditure,0.088 (0.095),.357
10 minutes,Visual,SAR lag,Low-income residents (%),-0.068 (0.099),.491
10 minutes,Visual,SAR lag,Bachelor's degree or higher (%),-0.031 (0.117),.793
10 minutes,Visual,SAR lag,Visible-minority residents (%),0.107 (0.096),.268
10 minutes,Visual,SAR lag,Indigenous identity residents (%),0.081 (0.094),.387
10 minutes,Haptic,OLS,Principal accommodation expenditure,0.020 (0.093),.829
10 minutes,Haptic,OLS,Low-income residents (%),0.016 (0.079),.840
10 minutes,Haptic,OLS,Bachelor's degree or higher (%),0.056 (0.120),.644
10 minutes,Haptic,OLS,Visible-minority residents (%),-0.081 (0.082),.326
10 minutes,Haptic,OLS,Indigenous identity residents (%),0.070 (0.104),.505
10 minutes,Multidimensional,SAR error,Principal accommodation expenditure,-0.072 (0.090),.423
10 minutes,Multidimensional,SAR error,Low-income residents (%),0.131 (0.090),.143
10 minutes,Multidimensional,SAR error,Bachelor's degree or higher (%),0.094 (0.112),.403
10 minutes,Multidimensional,SAR error,Visible-minority residents (%),0.013 (0.093),.891
10 minutes,Multidimensional,SAR error,Indigenous identity residents (%),0.077 (0.088),.380
20 minutes,Pedestrian,SAR error,Principal accommodation expenditure,-0.495 (0.129),<.001
20 minutes,Pedestrian,SAR error,Low-income residents (%),-0.078 (0.130),.547
20 minutes,Pedestrian,SAR error,Bachelor's degree or higher (%),0.345 (0.133),.009
20 minutes,Pedestrian,SAR error,Visible-minority residents (%),0.078 (0.116),.502
20 minutes,Pedestrian,SAR error,Indigenous identity residents (%),0.049 (0.089),.581
20 minutes,Transit,SAR error,Principal accommodation expenditure,-0.094 (0.137),.491
20 minutes,Transit,SAR error,Low-income residents (%),0.246 (0.109),.024
20 minutes,Transit,SAR error,Bachelor's degree or higher (%),-0.316 (0.145),.029
20 minutes,Transit,SAR error,Visible-minority residents (%),-0.076 (0.118),.520
20 minutes,Transit,SAR error,Indigenous identity residents (%),-0.136 (0.074),.066
20 minutes,Physical,SAR error,Principal accommodation expenditure,-0.262 (0.139),.059
20 minutes,Physical,SAR error,Low-income residents (%),0.154 (0.114),.176
20 minutes,Physical,SAR error,Bachelor's degree or higher (%),-0.001 (0.146),.994
20 minutes,Physical,SAR error,Visible-minority residents (%),-0.017 (0.121),.888
20 minutes,Physical,SAR error,Indigenous identity residents (%),-0.045 (0.078),.564
20 minutes,Visual,SAR lag,Principal accommodation expenditure,0.065 (0.119),.586
20 minutes,Visual,SAR lag,Low-income residents (%),-0.163 (0.126),.196
20 minutes,Visual,SAR lag,Bachelor's degree or higher (%),-0.114 (0.125),.363
20 minutes,Visual,SAR lag,Visible-minority residents (%),0.173 (0.105),.099
20 minutes,Visual,SAR lag,Indigenous identity residents (%),-0.007 (0.087),.936
20 minutes,Haptic,OLS,Principal accommodation expenditure,0.009 (0.119),.940
20 minutes,Haptic,OLS,Low-income residents (%),-0.039 (0.123),.749
20 minutes,Haptic,OLS,Bachelor's degree or higher (%),0.021 (0.109),.845
20 minutes,Haptic,OLS,Visible-minority residents (%),-0.036 (0.104),.728
20 minutes,Haptic,OLS,Indigenous identity residents (%),-0.032 (0.129),.806
20 minutes,Multidimensional,OLS,Principal accommodation expenditure,-0.110 (0.130),.402
20 minutes,Multidimensional,OLS,Low-income residents (%),-0.051 (0.166),.759
20 minutes,Multidimensional,OLS,Bachelor's degree or higher (%),0.045 (0.168),.788
20 minutes,Multidimensional,OLS,Visible-minority residents (%),0.168 (0.138),.227
20 minutes,Multidimensional,OLS,Indigenous identity residents (%),-0.015 (0.111),.894
30 minutes,Pedestrian,SAR error,Principal accommodation expenditure,-0.331 (0.132),.012
30 minutes,Pedestrian,SAR error,Low-income residents (%),0.133 (0.148),.368
30 minutes,Pedestrian,SAR error,Bachelor's degree or higher (%),0.220 (0.140),.116
30 minutes,Pedestrian,SAR error,Visible-minority residents (%),-0.102 (0.126),.416
30 minutes,Pedestrian,SAR error,Indigenous identity residents (%),-0.067 (0.092),.466
30 minutes,Transit,SAR lag,Principal accommodation expenditure,0.180 (0.073),.013
30 minutes,Transit,SAR lag,Low-income residents (%),0.441 (0.085),<.001
30 minutes,Transit,SAR lag,Bachelor's degree or higher (%),-0.204 (0.077),.009
30 minutes,Transit,SAR lag,Visible-minority residents (%),-0.231 (0.068),<.001
30 minutes,Transit,SAR lag,Indigenous identity residents (%),-0.129 (0.054),.016
30 minutes,Physical,SAR error,Principal accommodation expenditure,0.045 (0.121),.708
30 minutes,Physical,SAR error,Low-income residents (%),0.417 (0.111),<.001
30 minutes,Physical,SAR error,Bachelor's degree or higher (%),-0.045 (0.136),.739
30 minutes,Physical,SAR error,Visible-minority residents (%),-0.265 (0.108),.014
30 minutes,Physical,SAR error,Indigenous identity residents (%),-0.099 (0.067),.138
30 minutes,Visual,SAR lag,Principal accommodation expenditure,0.099 (0.115),.389
30 minutes,Visual,SAR lag,Low-income residents (%),-0.089 (0.135),.512
30 minutes,Visual,SAR lag,Bachelor's degree or higher (%),-0.144 (0.128),.258
30 minutes,Visual,SAR lag,Visible-minority residents (%),0.171 (0.111),.122
30 minutes,Visual,SAR lag,Indigenous identity residents (%),-0.076 (0.086),.378
30 minutes,Haptic,OLS,Principal accommodation expenditure,0.044 (0.100),.661
30 minutes,Haptic,OLS,Low-income residents (%),0.023 (0.121),.848
30 minutes,Haptic,OLS,Bachelor's degree or higher (%),0.013 (0.110),.907
30 minutes,Haptic,OLS,Visible-minority residents (%),-0.028 (0.105),.792
30 minutes,Haptic,OLS,Indigenous identity residents (%),0.057 (0.068),.399
30 minutes,Multidimensional,OLS,Principal accommodation expenditure,-0.011 (0.120),.928
30 minutes,Multidimensional,OLS,Low-income residents (%),0.102 (0.145),.482
30 minutes,Multidimensional,OLS,Bachelor's degree or higher (%),0.009 (0.160),.956
