catchment_min,outcome,specification,family,N,k_neighbors,AIC,log_likelihood,spatial_parameter,spatial_estimate,spatial_p,residual_Moran_I,residual_Moran_p,fit_error
10,pedestrian,baseline,SAR_lag,105,7,276.40075928889775,-130.20037964444887,rho,0.35291791230956404,0.0070629961157085116,0.0037032943609117486,0.7720067587393057,NA
10,pedestrian,controlled,SAR_lag,105,7,272.1062117457005,-124.05310587285024,rho,0.3114859767839184,0.017343688493977247,-0.02461514415394443,0.7449986432305453,NA
10,transit,baseline,SAR_error,105,7,277.6918207297301,-130.84591036486506,lambda,0.35792627179581504,0.012000653084485793,0.0029615990641340883,0.7880800761162436,NA
10,transit,controlled,SAR_error,105,7,270.02017493266607,-123.01008746633303,lambda,0.4165883671943267,0.0016623930795138801,0.009046249287053939,0.6905530025353566,NA
10,physical,baseline,SAR_error,105,7,263.5968703934505,-123.79843519672525,lambda,0.48435503859462975,5.686200312423086e-5,0.0019288762948497862,0.8058506884726998,NA
10,physical,controlled,SAR_error,105,7,264.93817986673275,-120.46908993336638,lambda,0.4387548355880543,6.434482135470507e-4,0.00489938858830765,0.757617620806067,NA
10,visual,baseline,SAR_lag,105,7,295.97448762588493,-139.98724381294247,rho,0.400542762218804,0.0024197178333154232,0.008064373602165383,0.707716255100832,NA
10,visual,controlled,SAR_lag,105,7,259.92106679900564,-117.96053339950284,rho,0.3762788938969399,0.002688738601245929,-0.010613950270630956,0.9830663084371926,NA
10,haptic,baseline,OLS,105,7,301.1618690185253,-143.58093450926265,NA,NA,NA,0.009010486832498053,0.3920023522707358,NA
10,haptic,controlled,OLS,105,7,237.5903813954127,-107.79519069770635,NA,NA,NA,-0.040382604663278025,0.8098335655925093,NA
10,multidimensional,baseline,OLS,105,7,294.271143467813,-140.1355717339065,NA,NA,NA,0.033014905562837864,0.15454374702340062,NA
10,multidimensional,controlled,SAR_error,105,7,241.66040569093173,-108.83020284546586,lambda,0.2887677118868711,0.060277208193203105,0.0011997150389320846,0.8182766594289266,NA
