measure,measure_label,specification,family,N,k_neighbors,term,term_label,estimate,std_error,p_value,BH_q,conf_low,conf_high,inference
shoreline_perimeter,Shoreline-to-perimeter measure,controlled,OLS,105,7,z_shelter,Principal accommodation expenditure,0.020224337130015143,0.09326333801632707,0.8287887358877274,0.8752360013224263,-0.1625718053819859,0.2030204796420162,HC3 robust
shoreline_perimeter,Shoreline-to-perimeter measure,controlled,OLS,105,7,z_low_income,Low-income residents (%),0.015858049075906336,0.07856547154486426,0.8404694788948395,0.8752360013224263,-0.13813027515202764,0.16984637330384028,HC3 robust
shoreline_perimeter,Shoreline-to-perimeter measure,controlled,OLS,105,7,z_bachelors,Bachelor's degree or higher (%),0.055695229157102025,0.12024388784443973,0.644290749742871,0.8752360013224263,-0.17998279101799985,0.2913732493322039,HC3 robust
shoreline_perimeter,Shoreline-to-perimeter measure,controlled,OLS,105,7,z_visible_minority,Visible-minority residents (%),-0.0807669336285353,0.08188325014999362,0.32645860761778767,0.8161465190444692,-0.24125810392252278,0.07972423666545218,HC3 robust
shoreline_perimeter,Shoreline-to-perimeter measure,controlled,OLS,105,7,z_indigenous,Indigenous identity residents (%),0.06972571045302427,0.10411305546281013,0.5046662529625614,0.8411104216042691,-0.1343358782540836,0.2737872991601321,HC3 robust
dtm_osm,DTM-OSM approachability proxy,controlled,SAR_lag,105,7,z_shelter,Principal accommodation expenditure,0.0746563881782508,0.10907589274050787,0.49369456284839597,0.8411104216042691,-0.13913236159314463,0.2884451379496462,SAR model-based
dtm_osm,DTM-OSM approachability proxy,controlled,SAR_lag,105,7,z_low_income,Low-income residents (%),0.2434539331353516,0.1123940015138632,0.0303053907725932,0.151526953862966,0.023161690168179733,0.46374617610252344,SAR model-based
dtm_osm,DTM-OSM approachability proxy,controlled,SAR_lag,105,7,z_bachelors,Bachelor's degree or higher (%),-0.401894490740203,0.1316928935994043,0.002275074583720782,0.02275074583720782,-0.6600125621950355,-0.14377641928537055,SAR model-based
dtm_osm,DTM-OSM approachability proxy,controlled,SAR_lag,105,7,z_visible_minority,Visible-minority residents (%),-0.01727742618206164,0.1100394328431109,0.8752360013224263,0.8752360013224263,-0.23295471455455896,0.1983998621904357,SAR model-based
dtm_osm,DTM-OSM approachability proxy,controlled,SAR_lag,105,7,z_indigenous,Indigenous identity residents (%),-0.20533898113954438,0.10672437942860911,0.054353085882397734,0.1811769529413258,-0.41451876481961825,0.0038408025405294866,SAR model-based
