pair,rank,park_num,site_name,x,y,x_z,y_z,absolute_standardized_difference
Physical vs haptic,1,144,Park Site on South East False Creek (Hinge Park),0.660377358490566,0.0895186357482314,2.704087119519121,-1.913903198403391,4.617990317922512
Physical vs haptic,2,104,Creekside Park,0.6952169468143159,0.2733222287185214,2.927714044097905,-0.5255717791434685,3.4532858232413735
Physical vs haptic,3,103,Coopers' Park,0.6331176222820895,0.2825931423000849,2.5291134396787394,-0.45554539716404424,2.9846588368427835
Physical vs haptic,4,17,Sunset Beach Park,0.5688698183894384,0.2302245053707456,2.116722263814583,-0.8511036278704988,2.9678258916850817
Physical vs haptic,5,98,Sutcliffe Park,0.4480148263804059,0.1633572090129279,1.3409831841266153,-1.3561751934167094,2.6971583775433245
Physical vs visual,1,144,Park Site on South East False Creek (Hinge Park),0.660377358490566,0.04767721139194013,2.704087119519121,-1.1214313038797894,3.8255184233989104
Physical vs visual,2,112,George Wainborn Park,0.5831230455108648,0.10920897328215436,2.208210295098657,-0.9362836242491465,3.1444939193478034
Physical vs visual,3,103,Coopers' Park,0.6331176222820895,0.23211186939621284,2.5291134396787394,-0.5664715900024427,3.095585029681182
Physical vs visual,4,58,Lions Park,0.4864034308177989,0.01939190871231405,1.5873903881794111,-1.2065411398069166,2.7939315279863277
Physical vs visual,5,98,Sutcliffe Park,0.4480148263804059,0.02944354655326294,1.3409831841266153,-1.1762959889194815,2.517279173046097
Visual vs haptic,1,89,Citrus Park,1,0.0540373781473263,1.744086424748863,-2.181905275654154,3.925991700403017
Visual vs haptic,2,122,Oxley Street Park,0.7530912451557595,0.0799761913993068,1.001143566693425,-1.985980545162835,2.98712411185626
Visual vs haptic,3,75,Erwin Park,0.7621306780882022,0.1039783664515041,1.0283430159080387,-1.8046839055431267,2.8330269214511654
Visual vs haptic,4,31,Fred Gingell Park,0.9274596394210974,0.1765514397363384,1.5258141206871463,-1.2565146548480413,2.7823287755351878
Visual vs haptic,5,113,Habitat Island Park,0.10527612819960272,0.5354324457108353,-0.948117466138485,1.454236361050425,2.40235382718891
