park_num,site_name,dimension,score,maximum_standardized_divergence
89,Citrus Park,Physical,0.2752620073833523,3.925991700403017
103,Coopers' Park,Physical,0.6331176222820895,3.095585029681182
104,Creekside Park,Physical,0.6952169468143159,3.4532858232413735
112,George Wainborn Park,Physical,0.5831230455108648,3.1444939193478034
122,Oxley Street Park,Physical,0.1805676118640685,2.98712411185626
144,Park Site on South East False Creek (Hinge Park),Physical,0.660377358490566,4.617990317922512
89,Citrus Park,Visual,1,3.925991700403017
103,Coopers' Park,Visual,0.23211186939621284,3.095585029681182
104,Creekside Park,Visual,0.5621929193675169,3.4532858232413735
112,George Wainborn Park,Visual,0.10920897328215436,3.1444939193478034
122,Oxley Street Park,Visual,0.7530912451557595,2.98712411185626
144,Park Site on South East False Creek (Hinge Park),Visual,0.04767721139194013,4.617990317922512
89,Citrus Park,Haptic,0.0540373781473263,3.925991700403017
103,Coopers' Park,Haptic,0.2825931423000849,3.095585029681182
104,Creekside Park,Haptic,0.2733222287185214,3.4532858232413735
112,George Wainborn Park,Haptic,0.4109809630528401,3.1444939193478034
122,Oxley Street Park,Haptic,0.0799761913993068,2.98712411185626
144,Park Site on South East False Creek (Hinge Park),Haptic,0.0895186357482314,4.617990317922512
