pair,park_num,site_name,x_dimension,y_dimension,x,y,x_median,y_median,x_level,y_level,quadrant_code,quadrant,x_z,y_z,absolute_standardized_difference,divergence_rank,is_top5_divergence
Physical vs haptic,2,Drummond Walk Dog off leash trail,Physical access,Haptic access,0.08192907861458498,0.5003188895500579,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-1.0088330405727717,1.1890116585723027,2.197844699145074,11,FALSE
Physical vs haptic,6,Burnaby Fraser Foreshore Park,Physical access,Haptic access,0.22730246489765135,0.4483612366536837,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,-0.0757162945311938,0.7965577308697178,0.8722740254009116,69,FALSE
Physical vs haptic,7,Deer lake (lakefront),Physical access,Haptic access,0.3208954445253507,0.4336513739797683,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.5250344951111562,0.6854491056618492,0.16041461055069306,106,FALSE
Physical vs haptic,8,Burnaby Lake,Physical access,Haptic access,0.2065336942999677,0.5954530487497928,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,-0.2090260297922206,1.9075925096181054,2.116618539410326,14,FALSE
Physical vs haptic,10,Kings Mill Walk Park,Physical access,Haptic access,0.06639929501553218,0.4889015301575931,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-1.1085149803637415,1.1027724370566307,2.2112874174203725,10,FALSE
Physical vs haptic,11,Waterfront Park,Physical access,Haptic access,0.5055081130738598,0.4029474922943135,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,1.7100187412551373,0.45353218310176396,1.2564865581533733,49,FALSE
Physical vs haptic,12,Lynnmouth Park (riverfront),Physical access,Haptic access,0.37001711200995574,0.2408339179939818,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,0.8403346452646387,-0.7709671047117131,1.6113017499763518,25,FALSE
Physical vs haptic,13,Spanish Banks Beach Park and Extension,Physical access,Haptic access,0.1402030647872526,0.4735911039916032,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.634786361558007,0.9871275503326874,1.6219139118906944,24,FALSE
Physical vs haptic,14,Locarno Beach Park,Physical access,Haptic access,0.17701687812323236,0.4672293282945656,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.3984873622173494,0.9390748820482913,1.3375622442656407,42,FALSE
Physical vs haptic,15,Jericho Beach Park,Physical access,Haptic access,0.2149703866910242,0.428966007317617,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,-0.15487293373674693,0.6500589283388792,0.8049318620756262,74,FALSE
Physical vs haptic,16,Kitsilano Beach Park,Physical access,Haptic access,0.28395933224338543,0.4538454505503992,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.28795048829808473,0.8379818746511875,0.5500313863531028,87,FALSE
Physical vs haptic,17,Sunset Beach Park,Physical access,Haptic access,0.5688698183894384,0.2302245053707456,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,2.116722263814583,-0.8511036278704988,2.9678258916850817,4,TRUE
Physical vs haptic,18,English Bay Beach Park,Physical access,Haptic access,0.5005828490204501,0.4478670719715088,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,1.6784046577944667,0.7928251359652053,0.8855795218292614,67,FALSE
Physical vs haptic,21,John Hendry (Trout Lake) Park,Physical access,Haptic access,0.38394382309172514,0.3768646327569235,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.9297268487480049,0.2565194217366742,0.6732074270113307,81,FALSE
Physical vs haptic,22,Don Roberts Park,Physical access,Haptic access,0.13341571697455556,0.218635912644106,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.6783527120927887,-0.9386362333403023,0.26028352124751364,100,FALSE
Physical vs haptic,24,Maquabeak Park,Physical access,Haptic access,0.17719112809357696,0.2255381754910144,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.397368893634598,-0.8865010807053791,0.48913218707078115,92,FALSE
Physical vs haptic,25,Coquitlam River Park,Physical access,Haptic access,0.3904805622597937,0.2376998042943838,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,0.9716846027646434,-0.7946401377050789,1.7663247404697224,18,FALSE
Physical vs haptic,26,Captain's Cove Park,Physical access,Haptic access,0.2668806302730855,0.4904386836366176,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.1783264146171617,1.114383083163529,0.9360566685463674,62,FALSE
Physical vs haptic,31,Fred Gingell Park,Physical access,Haptic access,0.1606334096839443,0.1765514397363384,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.503648899344755,-1.2565146548480413,0.7528657555032863,77,FALSE
Physical vs haptic,32,Panorama Park,Physical access,Haptic access,0.25856611619321296,0.1854360720881774,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,0.12495755170837161,-1.1894059871484657,1.3143635388568373,43,FALSE
Physical vs haptic,33,Lowry Lane Waterfront Park,Physical access,Haptic access,0.13449955536088273,0.1242349835863439,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.6713958145880742,-1.6516787462763938,0.9802829316883196,61,FALSE
Physical vs haptic,35,Deep Cove’s Parkside Beach,Physical access,Haptic access,0.2398885193560112,0.3576094092072767,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,0.005070557051246351,0.11107813080843158,0.10600757375718523,110,FALSE
Physical vs haptic,36,Seylynn Park,Physical access,Haptic access,0.42398441510286367,0.4256958616501052,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,1.1867377630721772,0.6253583993535877,0.5613793637185894,85,FALSE
Physical vs haptic,37,Cates Park,Physical access,Haptic access,0.17066109875098529,0.4674718574648135,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.4392835788979001,0.9409067878434988,1.3801903667413988,39,FALSE
Physical vs haptic,38,Harbourview Park (riverfront),Physical access,Haptic access,0.12895447142304228,0.4618679973875835,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.7069883725720373,0.8985789155281174,1.6055672881001546,27,FALSE
Physical vs haptic,39,Bridgman Park,Physical access,Haptic access,0.3423537547150115,0.4134742373470605,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.662770218902709,0.5330442898190138,0.1297259290836953,109,FALSE
Physical vs haptic,40,Brookswood Pond,Physical access,Haptic access,0.10485144071768776,0.3691018714252767,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.861699920239552,0.19788462965900616,1.059584549898558,57,FALSE
Physical vs haptic,42,Emmeline Mohun Park (riverfro,Physical access,Haptic access,0.10576867976093088,0.0566729442546991,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.8558123837842427,-2.16199794318436,1.306185559400117,45,FALSE
Physical vs haptic,43,Port Haney Wharf,Physical access,Haptic access,0.2990643214357327,0.1571681453958539,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,0.3849057751255615,-1.4029233082741335,1.787829083399695,17,FALSE
Physical vs haptic,44,"Pacific Spirit Regional Park (Acadia, Tower, and Wreck Beaches combined)",Physical access,Haptic access,0.07924665215561143,0.4921811536680055,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-1.0260508898152694,1.1275445554318417,2.1535954452471113,13,FALSE
Physical vs haptic,46,Pitt River Regional Greenway at Harris Rd & fraser Way,Physical access,Haptic access,0.06321513162564767,0.4591115055774762,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-1.1289533580971207,0.8777581898553435,2.006711547952464,16,FALSE
Physical vs haptic,49,Kanaka Creek Regional Park (riverfront) 1,Physical access,Haptic access,0.27930502547380687,0.5471659633586436,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.2580756143686031,1.542863634030482,1.2847880196618788,47,FALSE
Physical vs haptic,50,Sapperton Landing Park,Physical access,Haptic access,0.34215132443483626,0.4593249743684154,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.661470867699803,0.8793705926637054,0.21789972496390242,103,FALSE
Physical vs haptic,53,Quayside Park,Physical access,Haptic access,0.2472726896555076,0.2011970508429465,0.19230268372820103,0.37501999803951636,High,Low,HL,High-low,0.052467767354007065,-1.070357922581681,1.122825689935688,54,FALSE
Physical vs haptic,54,Waterfront Esplanade and Park,Physical access,Haptic access,0.2931400345611894,0.4785500552403122,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.3468792048410487,1.0245842056347072,0.6777050007936585,80,FALSE
Physical vs haptic,55,Westminster Pier Park,Physical access,Haptic access,0.34881537975205096,0.4555515293195713,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,0.7042458334072972,0.8508684712660687,0.1466226378587715,107,FALSE
Physical vs haptic,56,Citadel Landing & Traboulay Trail,Physical access,Haptic access,0.1777072044391556,0.4682044552214449,0.19230268372820103,0.37501999803951636,Low,High,LH,Low-high,-0.3940563238953357,0.9464403493303793,1.340496673225715,41,FALSE
Physical vs haptic,57,Dominion Park,Physical access,Haptic access,0.08706266027028166,0.3673542069920763,0.19230268372820103,0.37501999803951636,Low,Low,LL,Low-low,-0.9758818166068182,0.18468392229673322,1.1605657389035513,53,FALSE
Physical vs haptic,58,Lions Park,Physical access,Haptic access,0.4864034308177989,0.3809284731848358,0.19230268372820103,0.37501999803951636,High,High,HH,High-high,1.5873903881794111,0.28721499878037926,1.300175389399032,46,FALSE
