scenario,model,term,estimate,std_error,statistic.x,p_value,conf_low,conf_high,percent_change,percent_change_low,percent_change_high,BH_q,N_waterfronts,N_observations,k_neighbors,residual_Moran_I,expected_I,statistic.y,residual_Moran_p
coverage90,physical,z_physical_access,0.4512216654901735,0.10084375716070956,4.474463052493022,7.691706186641056e-6,0.25356790145518276,0.6488754295251642,57.02293091684829,28.861487533991582,91.33878791530638,3.0766824746564225e-5,76,27013,7,-0.0431150915482658,-0.013333333333333334,-0.6361147373638403,0.5247016405785306
coverage90,visual,z_visual_access,-0.2249604656946005,0.1096531596776427,-2.051563916224002,0.040221711667480786,-0.4398806586627802,-0.010040272726420774,-20.14522118325308,-35.58867141626683,-0.9990037454063017,0.05362894888997438,76,27013,7,-0.043076789235704314,-0.013333333333333334,-0.6049769012517583,0.5451943446433426
coverage90,haptic,z_haptic_access,-0.24071575669761103,0.09974874151660024,-2.41322098943525,0.01581886166467661,-0.4362232900701475,-0.04520822332507457,-21.393497164386275,-35.352664126346234,-4.420155841819973,0.03163772332935322,76,27013,7,-0.05664539697083281,-0.013333333333333334,-0.8389330228481641,0.40150689545900037
coverage90,multidimensional,z_multidimensional_access,-0.05181748389533425,0.11691269790706284,-0.44321519238676205,0.6576136512604887,-0.2809663717931774,0.1773314040025089,-5.04978495372429,-24.494627384385048,19.402673280358542,0.6576136512604887,76,27013,7,-0.05898267426396138,-0.013333333333333334,-0.9703713464682743,0.33186142584722134
population20,physical,z_physical_access,0.5374104368294716,0.09287984570307767,5.786082360079373,7.271009128118067e-9,0.35536593925143944,0.7194549344075039,71.15689026824299,42.67026452651952,105.3313714915702,2.9084036512472267e-8,103,32472,7,0.00435694380560817,-0.00980392156862745,0.31478281254706203,0.7529265624296019
population20,visual,z_visual_access,-0.13653011960651185,0.10445099109108374,-1.307121341600812,0.19118079106983998,-0.34125406214503595,0.06819382293201229,-12.761995587974717,-28.91217219984359,7.057278992786986,0.2549077214264533,103,32472,7,0.02862418935322647,-0.00980392156862745,0.8808322316505852,0.37840863151508597
population20,haptic,z_haptic_access,-0.2652078808263951,0.09966308499283075,-2.661044265742655,0.007793715189917894,-0.4605475274123434,-0.06986823424044686,-23.29535208550022,-36.90619049861369,-6.748331441960254,0.015587430379835787,103,32472,7,0.007438410953604529,-0.00980392156862745,0.408368018980649,0.6830035090426665
population20,multidimensional,z_multidimensional_access,0.05754128247367163,0.1064057867392877,0.540772116225761,0.5886683860706206,-0.15101405953533226,0.2660966244826755,5.9228997345348144,-14.016439031491135,30.486113412789106,0.5886683860706206,103,32472,7,0.007283853422846518,-0.00980392156862745,0.3822819647443005,0.7022522307123457
no_site_type,physical,z_physical_access,0.516796164953977,0.10397317499217884,4.970475942403912,6.71462934587197e-7,0.3130087419693064,0.7205835879386475,67.6647333990627,36.75334859111099,105.56325029986158,2.685851738348788e-6,98,30946,7,-0.03261356528558238,-0.010309278350515464,-0.5415804696661126,0.5881075490797363
no_site_type,visual,z_visual_access,-0.1325059491761671,0.09296666301265337,-1.4253060708238197,0.15407886558872108,-0.3147206086809677,0.0497087103286335,-12.410227677915685,-27.000720056861248,5.096491655951763,0.2054384874516281,98,30946,7,-0.030242065115963966,-0.010309278350515464,-0.4338945753572835,0.6643649991529168
no_site_type,haptic,z_haptic_access,-0.25969133822419366,0.10035113039672786,-2.58782673595734,0.009662881964325631,-0.45637955380178025,-0.06300312264660707,-22.871038331109318,-36.64266837047625,-6.1059458294941305,0.019325763928651263,98,30946,7,-0.05536366387666274,-0.010309278350515464,-0.9804832914311857,0.3268476133263912
no_site_type,multidimensional,z_multidimensional_access,-0.01648845541352273,0.10271040863781737,-0.16053344186045596,0.8724619317848277,-0.21780085634364477,0.1848239455165993,-1.635326488007971,-19.571440590667798,20.300662677269308,0.8724619317848277,98,30946,7,-0.03929748752690743,-0.010309278350515464,-0.6387934775600516,0.5229572919481262
raw_outcome,physical,z_physical_access,0.06043153605031736,0.01744629493964683,3.4638607371577943,5.332048059842887e-4,0.026236797968609574,0.09462627413202515,NA,NA,NA,0.0010664096119685773,98,30946,7,-0.08698159614740728,-0.010309278350515464,-2.288247755460183,0.02212309709096791
raw_outcome,visual,z_visual_access,-0.05402324471185327,0.01640213769183127,-3.2936709669714808,9.89994940787664e-4,-0.08617143458784256,-0.02187505483586398,NA,NA,NA,0.001319993254383552,98,30946,7,-0.0649248877253225,-0.010309278350515464,-1.3088389575502422,0.19058890749013707
raw_outcome,haptic,z_haptic_access,-0.06434993031607134,0.015019505030144573,-4.284424166237116,1.8376760325011787e-5,-0.0937881601751547,-0.03491170045698797,NA,NA,NA,7.350704130004715e-5,98,30946,7,-0.0721599343751588,-0.010309278350515464,-1.4025763177913477,0.16074321790460225
raw_outcome,multidimensional,z_multidimensional_access,-0.04301219486979735,0.017344558783155353,-2.4798667644154677,0.013148446024737082,-0.07700753008478184,-0.009016859654812859,NA,NA,NA,0.013148446024737082,98,30946,7,-0.06249774128957507,-0.010309278350515464,-1.289282966201577,0.19729973061033174
