scenario,model,N_waterfronts,N_observations,k_neighbors,residual_Moran_I,expected_I,statistic,residual_Moran_p
coverage90,physical,76,27013,7,-0.0431150915482658,-0.013333333333333334,-0.6361147373638403,0.5247016405785306
coverage90,visual,76,27013,7,-0.043076789235704314,-0.013333333333333334,-0.6049769012517583,0.5451943446433426
coverage90,haptic,76,27013,7,-0.05664539697083281,-0.013333333333333334,-0.8389330228481641,0.40150689545900037
coverage90,multidimensional,76,27013,7,-0.05898267426396138,-0.013333333333333334,-0.9703713464682743,0.33186142584722134
population20,physical,103,32472,7,0.00435694380560817,-0.00980392156862745,0.31478281254706203,0.7529265624296019
population20,visual,103,32472,7,0.02862418935322647,-0.00980392156862745,0.8808322316505852,0.37840863151508597
population20,haptic,103,32472,7,0.007438410953604529,-0.00980392156862745,0.408368018980649,0.6830035090426665
population20,multidimensional,103,32472,7,0.007283853422846518,-0.00980392156862745,0.3822819647443005,0.7022522307123457
no_site_type,physical,98,30946,7,-0.03261356528558238,-0.010309278350515464,-0.5415804696661126,0.5881075490797363
no_site_type,visual,98,30946,7,-0.030242065115963966,-0.010309278350515464,-0.4338945753572835,0.6643649991529168
no_site_type,haptic,98,30946,7,-0.05536366387666274,-0.010309278350515464,-0.9804832914311857,0.3268476133263912
no_site_type,multidimensional,98,30946,7,-0.03929748752690743,-0.010309278350515464,-0.6387934775600516,0.5229572919481262
raw_outcome,physical,98,30946,7,-0.08698159614740728,-0.010309278350515464,-2.288247755460183,0.02212309709096791
raw_outcome,visual,98,30946,7,-0.0649248877253225,-0.010309278350515464,-1.3088389575502422,0.19058890749013707
raw_outcome,haptic,98,30946,7,-0.0721599343751588,-0.010309278350515464,-1.4025763177913477,0.16074321790460225
raw_outcome,multidimensional,98,30946,7,-0.06249774128957507,-0.010309278350515464,-1.289282966201577,0.19729973061033174
